,filename,entry number
77193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,31
78328,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,63
68776,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,170
31662,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,208
70527,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,303
12591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,533
31561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,561
26301,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,624
4818,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,668
14267,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,778
15627,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,185
25254,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,286
34954,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,345
45261,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,594
28389,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,640
15059,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,1046
31366,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0001.lmdb,1085
28624,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,83
7245,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,102
75438,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,119
39179,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,333
22584,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,378
71905,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,559
13799,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,660
12646,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,694
29464,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,869
6904,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,920
27315,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,45
17436,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,453
33198,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,578
22872,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,630
136,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,647
77686,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,953
5208,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,973
17011,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,1100
8303,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,179
37189,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,352
27834,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,425
24765,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,879
27728,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,886
19706,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0004.lmdb,927
4229,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,73
16829,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,129
1718,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,185
13062,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,302
75521,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,366
13106,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,374
82397,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,441
4802,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,661
19633,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0005.lmdb,1093
12291,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0006.lmdb,606
39381,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0006.lmdb,757
35952,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0006.lmdb,986
76585,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,64
70069,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,81
14048,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,213
77427,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,321
20016,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,395
73043,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,505
1732,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,528
29866,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,536
9433,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,794
13302,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,914
40049,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0007.lmdb,1010
26464,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,3
35910,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,218
19765,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,320
29082,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,327
12393,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,393
76726,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,633
69625,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,843
20281,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,988
40566,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0008.lmdb,1082
29535,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,88
15348,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,126
9043,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,129
70146,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,401
4803,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,405
3783,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,599
18373,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,685
7682,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,845
78095,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,893
37772,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,909
70632,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0009.lmdb,1112
31281,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,271
34078,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,680
35440,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,744
2931,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,748
69465,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,783
1006,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0010.lmdb,987
41933,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,39
76372,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,345
21086,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,370
30551,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,498
15579,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,502
10578,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,588
44076,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0011.lmdb,726
36205,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,1
44997,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,52
22336,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,496
69360,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,542
41687,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,573
27342,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,684
25187,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,970
23579,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0012.lmdb,1016
69496,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0013.lmdb,261
12676,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0013.lmdb,920
145,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0013.lmdb,1025
27699,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0014.lmdb,830
8027,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,274
32480,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,302
14895,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,414
6001,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,546
19475,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,651
70606,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,801
685,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,813
70826,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,847
6676,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0015.lmdb,915
29433,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,79
36056,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,85
17882,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,119
73693,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,508
13140,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,565
78491,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,684
26203,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,710
38729,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,730
81911,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,750
39567,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,842
33906,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,982
16422,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0016.lmdb,1070
70595,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,138
19607,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,354
35658,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,415
70375,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,470
9022,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,483
16609,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,508
37064,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,509
18442,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,669
10666,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,1031
8287,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0017.lmdb,1072
46038,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,10
11524,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,101
6780,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,174
78575,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,223
29408,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,280
28418,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,442
42309,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,473
18446,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,570
22822,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,600
